BillNo,TeamName,RoomNo
13400,TRINCAS,A206
13399,Diplomats,A206
13398,A.S,A206
13397,Anti-Virus,A206
13396,The Phoenixer's,A206
13395,Just chill,A206
13394,FREE THINKERS,A206
13393,Decoders,A206
13392,RIVALS,A206
13391,IT Challengers,A206
13390,BOTS,A206
13389,No Brians,A206
13388,Stack Overflow,A206
13387,hashira,A206
13386,Comrade,A206
13385,Magnified,A206
13384,Elite engineers,A206
13383,CORE SHIP,A206
13382,No Pain No champagne,A206
13381,Team UR,A206
13380,Mobster,A206
13379,Team Falcon,A206
13378,Team Paradise,A206
13377,Slice,A206
13376,Fan,A206
13375,Mechanical boy,A206
13374,INFINITY,A206
13373,Brain_Stromers,A206
13372,TWO BOYS,A206
13371,Gamers,A206
13370,Code Hunter,A206
13369,Bad duo,A206
13368,Team Titanic,A206
13367,Hydra,A206
13366,TEAM X,A206
13365,Strikers,A206
13364,Coding Champion,A206
13363,FLEXX,A206
8794,Bhojpuriya hero,A206
8793,BangaliBhai,A206
8792,Team Arya,A210
8791,ENDURANCE,A210
8790,Data Sonic,A210
8789,Vandel Geeks,A210
8788,omega,A210
8787,2 idiots,A210
8786,Infinite loops,A210
8785,Dark ghost,A210
8784,Yousfull,A210
8783,The Boys,A210
8782,ACES,A210
8781,Scamss,A210
8780,Nasamajh,A210
8779,Tech Titans,A210
8778,D.coder,A210
8778,The Legits,A210
8778,D.Coder,A210
8777,Petrefiedral,A210
8776,Amplifiers,A210
8775,Who cares.,A210
8774,The compilers,A210
8773,Eccentric Duo,A210
8771,ARSH,A210
8770,Choco choco,A210
8769,Alexa,A210
8768,Sparks,A210
8767,Team JimJam,A210
8766,Lord Shiva,A210
8765,Synergy,A210
8764,Headache,A210
8763,Pain killer,A210
8762,Code Breakers,A210
8761,The Coders,A210
8760,LazyBoys,A210
8759,Panipuri Vibezz,A210
8758,Classic,A210
8757,Happy Happy,A210
8755,Pizza,A210
8754,Unused Brain,A210
8753,Team-straw hat pirates,A210
8752,Team Phoenix,A201
8751,Mone nei,A201
8750,Hell's Angels,A201
8749,Me myself and i,A201
8748,X-treme,A201
8747,ESPADA,A201
8746,Alpha Boyz,A201
8745,Team Chainsaw,A201
8744,ANGRY BIRDS,A201
8743,Picasso,A201
8742,We Who Shall not be Named,A201
8741,Deathwish,A201
8740,The Knowledge Knights,A201
8739,Gaddari karbe,A201
8738,Voyager,A201
8737,BROWN MUNDE,A201
8736,THE BOY'S,A201
8735,Coder LM10,A201
8734,INSTRA,A201
8733,Alpha,A201
8732,TechDuo,A201
8731,DIAL,A201
8730,Panthers,A201
8729,Dominators,A201
8728,THE ANIONS,A201
8727,Stardust,A201
8726,FUSION STARS,A201
8725,Detroit,A201
8724,Pi,A201
8723,Dreamers,A201
8722,Diamox.,A202
8721,The Scanners,A202
8720,US,A202
8719,Straw hats ????,A202
8718,Flyers,A202
8717,Gekko,A202
8716,Immortals,A202
8715,Zoxy,A202
8795,ChadGPT,A202
8796,Brainless,A202
8797,Binary Brains,A202
8798,Dazed & Confused,A202
